root_morphind	di	me
acu	28	2056
ada	2	8
adu	21	189
aduk	71	50
ajak	839	1625
ajar	64	1252
akomodir	18	88
alih	2	5
amati	490	962
ambil	2549	4979
ambilalih	10	14
amuk	11	223
analisa	51	175
ancam	171	709
anggap	4545	1561
angkat	1274	1628
angkut	214	452
angsur	9	12
aniaya	40	40
antar	228	549
antar jemput	1	3
anut	298	287
anyam	11	12
apit	52	26
arsir	5	2
asah	49	167
asuh	65	114
atur	4791	3357
ayak	5	0
ayun	20	53
babat	13	27
baca	1208	3688
bahas	1025	1664
bajak	26	56
bakar	227	439
balas	97	438
balik	120	87
balun	1	0
banding	1649	2
bangkit	1	0
bangun	2005	5329
bantah	95	444
bantai	37	44
banting	21	138
bantu	797	6234
basmi	10	42
basuh	21	86
baur	1	48
bawa	1452	5081
bayar	1129	2088
beber	1	0
bedah	21	40
bekap	10	31
bekuk	15	14
bela	33	617
belah	34	233
beli	700	2838
belit	10	58
benam	1	1
bendung	23	75
bentak	20	58
bentang	2	143
bentur	3	86
berangus	15	26
berantas	26	141
beri	3075	6133
beritahu	68	215
berondong	18	11
besuk	3	18
bidik	21	102
bikin	56	228
bilang	341	7
bilas	25	18
bimbing	127	381
bina	121	473
blokir	59	54
bobol	6	26
boikot	4	22
bolakbalik	5	0
bombardir	14	13
bongkar	105	263
borong	10	46
boyong	39	80
bredel	1	1
buai	25	14
buang	343	570
buat	3358	16429
bujuk	39	328
buka	1045	3950
bungkam	10	58
bungkus	123	141
bunuh	277	744
buru	81	217
butuh	2	4
cabik	6	12
cabut	554	401
cacah	9	16
caci	14	24
cakup	13	2961
cambuk	13	20
campak	1	0
campur	168	61
canang	1	0
capai	1387	7730
caplok	4	21
cari	399	5889
catat	667	1117
cegah	214	1976
cegat	23	39
cek	68	324
cekam	15	124
cekik	22	81
cela	6	40
celup	10	2
cencang	1	2
cengkeram	6	142
cerai	1	0
cerna	92	105
cetak	277	476
cetus	1	3
cicil	22	58
cincang	5	7
cipta	12	110
cium	19	467
coba	137	2552
coblos	4	44
comot	4	18
contek	3	15
copot	48	45
coreng	2	16
coret	36	30
cubit	7	30
cuci	110	480
cukur	19	43
culik	94	58
curi	68	381
daki	5	143
dakwa	71	20
damba	2	9
damping	1	4
dapat	911	6055
dengar	357	3358
depak	2	6
dera	74	46
desak	48	768
deteksi	93	321
didik	125	615
dobrak	15	86
dongkel	3	13
dorong	547	4452
download	29	44
duga	1473	559
dukung	1652	5342
dulang	4	66
ecer	2	2
eja	9	60
ejek	25	106
ekspor	150	98
ekspos	9	22
elak	1	113
eliminir	1	6
elus	4	100
emban	80	184
endus	9	77
entas	1	5
eram	4	12
gabung	74	3
gadai	4	0
gagas	192	75
galang	16	150
gali	148	624
gandeng	24	242
ganggu	127	2301
ganjal	2	55
ganjar	27	1
ganti	628	713
gantung	63	195
gapai	13	184
garap	131	179
gasak	3	19
gebrak	1	32
gedor	22	26
gelar	1110	813
geledah	23	73
gelitik	4	27
gembleng	21	11
gempur	12	35
gencet	6	8
gendong	37	162
