LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	REMARK	OV_IN_RELCL
ecara garis besar pertanyaan yang di	ajukan	kepada klien Lansia berkaitan tentang :	Disertasi_Tesis_Skripsi				
Demikian permohonan ini kami	ajukan	, atas perhatian Bapak/Ibu kami ucapkan terima kasih.	Surat_Resmi	kami	pronomina		FALSE
Demikian permohonan ini kami	ajukan	dan atas perhatiannya kami ucapkan terima kasih.	Surat_Resmi	kami	pronomina		FALSE
apakah teori hasil sintesis itu dapat membantu memecahkan masalah yang Anda	ajukan	dalam skripsi. Pada poin inilah Anda pasti menyadari bahwa membaca dan men	Buku_Teks	anda	pronomina		TRUE
ua tokoh merespon surat-surat yang penulis ajukan. Tokoh yang sudah penulis	ajukan	adalah K.H. Hilmi Aminuddin, K.H. Abdullah Baharmus, DR. Salim Segaf Al Ju	Disertasi_Tesis_Skripsi	penulis	nomina	refer_to_first_person	TRUE
jaran yang terkait dengan nilai-nilai Pancasila tersebut? Jawaban yang Anda	ajukan	mungkin berbeda satu dengan yang lainnya. Hal tersebut menunjukkan masih t	Buku_Teks	anda	pronomina		TRUE
gabung dengan perusahaan Anda dan bersedia menerima tawaran yang mampu Anda	ajukan	. Kedua, kandidat yang kualifikasinya secara umum sesuai dengan karakterist	Populer	anda	pronomina		TRUE
ang sama dengan pertanyaan pada proposal penelitian di atas yang dapat Anda	ajukan	berkenaan dengan bagaimana proposal itu dibuat agar memenuhi harapan pihak	Buku_Teks	anda	pronomina		TRUE
mengangkat latar belakang saya sebagai orang Batak menjadi tema. Saat saya	ajukan	ke guru seni, dia sangat setuju dan mendorong saya untuk mengangkat unsur	Biografi				
ripsi kita, namun juga memiliki pengalaman terhadap bahan skripsi yang kita	ajukan	. Aku bersyukur berhasil mendapatkan Prof. Alfian Lains sebagai pembimbingk	Biografi	kita	pronomina		TRUE
"agi industri yang mengembangkan vokasi dan inovasi. """"Usulan yang telah kami"	ajukan	adalah 300 persen tax allowance untuk perusahaan yang berinvestasi di sisi	Laman_Resmi	kami	pronomina		TRUE
KAJS juga mengatakan, akan meng	ajukan	gugatan warga negara (citizen lawsuit) agar seluruh rakyat bisa mendapat j	Koran				
