morphind	root_morphind	root_pos_morphind	affix_morphind	affix_morphind_wclass	pref_morphind	suff_morphind	verb_tagged	n
ber+ikut<v>_VSA	ikut	v	ber-_0	ber-_v_0	ber-	0	TRUE	15230
ber+ada<v>_VSA	ada	v	ber-_0	ber-_v_0	ber-	0	TRUE	9658
ber+kembang<v>_VSA	kembang	v	ber-_0	ber-_v_0	ber-	0	TRUE	4294
ber+pikir<v>_VSA	pikir	v	ber-_0	ber-_v_0	ber-	0	TRUE	3813
ber+ubah<v>_VSA	ubah	v	ber-_0	ber-_v_0	ber-	0	TRUE	3404
ber+gerak<v>_VSA	gerak	v	ber-_0	ber-_v_0	ber-	0	TRUE	3238
ber+main<v>_VSA	main	v	ber-_0	ber-_v_0	ber-	0	TRUE	3124
ber+bicara<v>_VSA	bicara	v	ber-_0	ber-_v_0	ber-	0	TRUE	3054
ber+temu<v>_VSA	temu	v	ber-_0	ber-_v_0	ber-	0	TRUE	2848
ber+henti<v>_VSA	henti	v	ber-_0	ber-_v_0	ber-	0	TRUE	2795
ber+isi<v>_VSA	isi	v	ber-_0	ber-_v_0	ber-	0	TRUE	2726
ber+harap<v>_VSA	harap	v	ber-_0	ber-_v_0	ber-	0	TRUE	2574
ber+tanya<v>_VSA	tanya	v	ber-_0	ber-_v_0	ber-	0	TRUE	2431
ber+tanggung<v>_VSA	tanggung	v	ber-_0	ber-_v_0	ber-	0	TRUE	2344
ber+tindak<v>_VSA	tindak	v	ber-_0	ber-_v_0	ber-	0	TRUE	1739
ber+gabung<v>_VSA	gabung	v	ber-_0	ber-_v_0	ber-	0	TRUE	1385
ber+tambah<v>_VSA	tambah	v	ber-_0	ber-_v_0	ber-	0	TRUE	1275
ber+lari<v>_VSA	lari	v	ber-_0	ber-_v_0	ber-	0	TRUE	1230
ber+sedia<v>_VSA	sedia	v	ber-_0	ber-_v_0	ber-	0	TRUE	1143
ber+buat<v>_VSA	buat	v	ber-_0	ber-_v_0	ber-	0	TRUE	993
ber+gantung<v>_VSA	gantung	v	ber-_0	ber-_v_0	ber-	0	TRUE	937
ber+lalu<v>_VSA	lalu	v	ber-_0	ber-_v_0	ber-	0	TRUE	841
ber+kumpul<v>_VSA	kumpul	v	ber-_0	ber-_v_0	ber-	0	TRUE	839
ber+saing<v>_VSA	saing	v	ber-_0	ber-_v_0	ber-	0	TRUE	767
ber+ulang<v>_VSA	ulang	v	ber-_0	ber-_v_0	ber-	0	TRUE	766
ber+juang<v>_VSA	juang	v	ber-_0	ber-_v_0	ber-	0	TRUE	759
ber+kunjung<v>_VSA	kunjung	v	ber-_0	ber-_v_0	ber-	0	TRUE	740
ber+latih<v>_VSA	latih	v	ber-_0	ber-_v_0	ber-	0	TRUE	679
ber+ganti<v>_VSA	ganti	v	ber-_0	ber-_v_0	ber-	0	TRUE	677
ber+edar<v>_VSA	edar	v	ber-_0	ber-_v_0	ber-	0	TRUE	645
ber+lanjut<v>_VSA	lanjut	v	ber-_0	ber-_v_0	ber-	0	TRUE	635
ber+nilai<v>_VSA	nilai	v	ber-_0	ber-_v_0	ber-	0	TRUE	617
ber+pindah<v>_VSA	pindah	v	ber-_0	ber-_v_0	ber-	0	TRUE	577
ber+alih<v>_VSA	alih	v	ber-_0	ber-_v_0	ber-	0	TRUE	518
ber+putar<v>_VSA	putar	v	ber-_0	ber-_v_0	ber-	0	TRUE	408
ber+renang<v>_VSA	renang	v	ber-_0	ber-_v_0	ber-	0	TRUE	382
ber+gaul<v>_VSA	gaul	v	ber-_0	ber-_v_0	ber-	0	TRUE	377
ber+getar<v>_VSA	getar	v	ber-_0	ber-_v_0	ber-	0	TRUE	353
ber+nyanyi<v>_VSA	nyanyi	v	ber-_0	ber-_v_0	ber-	0	TRUE	341
ber+balik<v>_VSA	balik	v	ber-_0	ber-_v_0	ber-	0	TRUE	326
ber+campur<v>_VSA	campur	v	ber-_0	ber-_v_0	ber-	0	TRUE	323
ber+tukar<v>_VSA	tukar	v	ber-_0	ber-_v_0	ber-	0	TRUE	323
ber+agun<v>_VSA	agun	v	ber-_0	ber-_v_0	ber-	0	TRUE	318
ber+sembunyi<v>_VSA	sembunyi	v	ber-_0	ber-_v_0	ber-	0	TRUE	300
ber+pisah<v>_VSA	pisah	v	ber-_0	ber-_v_0	ber-	0	TRUE	296
ber+buru<v>_VSA	buru	v	ber-_0	ber-_v_0	ber-	0	TRUE	294
ber+istirahat<v>_VSA	istirahat	v	ber-_0	ber-_v_0	ber-	0	TRUE	287
ber+belanja<v>_VSA	belanja	v	ber-_0	ber-_v_0	ber-	0	TRUE	285
ber+tolak<v>_VSA	tolak	v	ber-_0	ber-_v_0	ber-	0	TRUE	280
ber+geser<v>_VSA	geser	v	ber-_0	ber-_v_0	ber-	0	TRUE	276
ber+jumpa<v>_VSA	jumpa	v	ber-_0	ber-_v_0	ber-	0	TRUE	248
ber+baring<v>_VSA	baring	v	ber-_0	ber-_v_0	ber-	0	TRUE	241
ber+tarung<v>_VSA	tarung	v	ber-_0	ber-_v_0	ber-	0	TRUE	239
ber+bohong<v>_VSA	bohong	v	ber-_0	ber-_v_0	ber-	0	TRUE	236
ber+fikir<v>_VSA	fikir	v	ber-_0	ber-_v_0	ber-	0	TRUE	230
ber+tengkar<v>_VSA	tengkar	v	ber-_0	ber-_v_0	ber-	0	TRUE	215
ber+rebut<v>_VSA	rebut	v	ber-_0	ber-_v_0	ber-	0	TRUE	211
ber+pegang<v>_VSA	pegang	v	ber-_0	ber-_v_0	ber-	0	TRUE	208
ber+gulir<v>_VSA	gulir	v	ber-_0	ber-_v_0	ber-	0	TRUE	203
ber+terima<v>_VSA	terima	v	ber-_0	ber-_v_0	ber-	0	TRUE	194
ber+adu<v>_VSA	adu	v	ber-_0	ber-_v_0	ber-	0	TRUE	193
ber+tumbuh<v>_VSA	tumbuh	v	ber-_0	ber-_v_0	ber-	0	TRUE	185
ber+jaga<v>_VSA	jaga	v	ber-_0	ber-_v_0	ber-	0	TRUE	176
ber+tumpu<v>_VSA	tumpu	v	ber-_0	ber-_v_0	ber-	0	TRUE	171
ber+kendara<v>_VSA	kendara	v	ber-_0	ber-_v_0	ber-	0	TRUE	170
ber+belok<v>_VSA	belok	v	ber-_0	ber-_v_0	ber-	0	TRUE	168
ber+hitung<v>_VSA	hitung	v	ber-_0	ber-_v_0	ber-	0	TRUE	157
ber+tanding<v>_VSA	tanding	v	ber-_0	ber-_v_0	ber-	0	TRUE	156
ber+cerai<v>_VSA	cerai	v	ber-_0	ber-_v_0	ber-	0	TRUE	154
ber+purapura<v>_VSA	purapura	v	ber-_0	ber-_v_0	ber-	0	TRUE	154
ber+mukim<v>_VSA	mukim	v	ber-_0	ber-_v_0	ber-	0	TRUE	153
ber+kelahi<v>_VSA	kelahi	v	ber-_0	ber-_v_0	ber-	0	TRUE	147
ber+libur<v>_VSA	libur	v	ber-_0	ber-_v_0	ber-	0	TRUE	145
ber+tepuk<v>_VSA	tepuk	v	ber-_0	ber-_v_0	ber-	0	TRUE	145
ber+banding<v>_VSA	banding	v	ber-_0	ber-_v_0	ber-	0	TRUE	144
ber+limpah<v>_VSA	limpah	v	ber-_0	ber-_v_0	ber-	0	TRUE	143
ber+tandang<v>_VSA	tandang	v	ber-_0	ber-_v_0	ber-	0	TRUE	137
ber+angsur<v>_VSA	angsur	v	ber-_0	ber-_v_0	ber-	0	TRUE	136
ber+salin<v>_VSA	salin	v	ber-_0	ber-_v_0	ber-	0	TRUE	136
ber+paling<v>_VSA	paling	v	ber-_0	ber-_v_0	ber-	0	TRUE	130
ber+goyang<v>_VSA	goyang	v	ber-_0	ber-_v_0	ber-	0	TRUE	117
ber+bantu<v>_VSA	bantu	v	ber-_0	ber-_v_0	ber-	0	TRUE	113
ber+gurau<v>_VSA	gurau	v	ber-_0	ber-_v_0	ber-	0	TRUE	109
ber+runding<v>_VSA	runding	v	ber-_0	ber-_v_0	ber-	0	TRUE	109
ber+baur<v>_VSA	baur	v	ber-_0	ber-_v_0	ber-	0	TRUE	107
ber+lindung<v>_VSA	lindung	v	ber-_0	ber-_v_0	ber-	0	TRUE	107
ber+ingin<v>_VSA	ingin	v	ber-_0	ber-_v_0	ber-	0	TRUE	105
ber+lapis<v>_VSA	lapis	v	ber-_0	ber-_v_0	ber-	0	TRUE	102
ber+hubung<v>_VSA	hubung	v	ber-_0	ber-_v_0	ber-	0	TRUE	101
ber+lipat<v>_VSA	lipat	v	ber-_0	ber-_v_0	ber-	0	TRUE	101
ber+runtun<v>_VSA	runtun	v	ber-_0	ber-_v_0	ber-	0	TRUE	101
ber+kerumun<v>_VSA	kerumun	v	ber-_0	ber-_v_0	ber-	0	TRUE	99
ber+labuh<v>_VSA	labuh	v	ber-_0	ber-_v_0	ber-	0	TRUE	94
ber+benah<v>_VSA	benah	v	ber-_0	ber-_v_0	ber-	0	TRUE	90
ber+tiup<v>_VSA	tiup	v	ber-_0	ber-_v_0	ber-	0	TRUE	88
ber+buka<v>_VSA	buka	v	ber-_0	ber-_v_0	ber-	0	TRUE	83
ber+simbah<v>_VSA	simbah	v	ber-_0	ber-_v_0	ber-	0	TRUE	83
ber+kobar<v>_VSA	kobar	v	ber-_0	ber-_v_0	ber-	0	TRUE	79
ber+ujar<v>_VSA	ujar	v	ber-_0	ber-_v_0	ber-	0	TRUE	77
ber+kibar<v>_VSA	kibar	v	ber-_0	ber-_v_0	ber-	0	TRUE	71
ber+pulang<v>_VSA	pulang	v	ber-_0	ber-_v_0	ber-	0	TRUE	69
ber+jabat<v>_VSA	jabat	v	ber-_0	ber-_v_0	ber-	0	TRUE	68
ber+bayar<v>_VSA	bayar	v	ber-_0	ber-_v_0	ber-	0	TRUE	67
ber+gelut<v>_VSA	gelut	v	ber-_0	ber-_v_0	ber-	0	TRUE	67
ber+sujud<v>_VSA	sujud	v	ber-_0	ber-_v_0	ber-	0	TRUE	66
ber+ucap<v>_VSA	ucap	v	ber-_0	ber-_v_0	ber-	0	TRUE	65
ber+wajib<a>_VSA	wajib	v	ber-_0	ber-_v_0	ber-	0	TRUE	65
ber+kirim<v>_VSA	kirim	v	ber-_0	ber-_v_0	ber-	0	TRUE	64
ber+tumpuk<v>_VSA	tumpuk	v	ber-_0	ber-_v_0	ber-	0	TRUE	64
ber+tobat<v>_VSA	tobat	v	ber-_0	ber-_v_0	ber-	0	TRUE	62
ber+kait<v>_VSA	kait	v	ber-_0	ber-_v_0	ber-	0	TRUE	61
ber+selingkuh<v>_VSA	selingkuh	v	ber-_0	ber-_v_0	ber-	0	TRUE	61
ber+naung<v>_VSA	naung	v	ber-_0	ber-_v_0	ber-	0	TRUE	60
ber+kali<v>_VSA	kali	v	ber-_0	ber-_v_0	ber-	0	TRUE	59
ber+tatap<v>_VSA	tatap	v	ber-_0	ber-_v_0	ber-	0	TRUE	59
ber+jinjit<v>_VSA	jinjit	v	ber-_0	ber-_v_0	ber-	0	TRUE	56
ber+sambung<v>_VSA	sambung	v	ber-_0	ber-_v_0	ber-	0	TRUE	56
ber+taruh<v>_VSA	taruh	v	ber-_0	ber-_v_0	ber-	0	TRUE	56
ber+lalu lalang<v>_VSA	lalu lalang	v	ber-_0	ber-_v_0	ber-	0	TRUE	53
ber+gilir<v>_VSA	gilir	v	ber-_0	ber-_v_0	ber-	0	TRUE	51
ber+balas<v>_VSA	balas	v	ber-_0	ber-_v_0	ber-	0	TRUE	50
ber+kelit<v>_VSA	kelit	v	ber-_0	ber-_v_0	ber-	0	TRUE	49
ber+turut<v>_VSA	turut	v	ber-_0	ber-_v_0	ber-	0	TRUE	49
ber+siaga<a>_VSA	siaga	v	ber-_0	ber-_v_0	ber-	0	TRUE	48
ber+himpun<v>_VSA	himpun	v	ber-_0	ber-_v_0	ber-	0	TRUE	45
ber+gumul<v>_VSA	gumul	v	ber-_0	ber-_v_0	ber-	0	TRUE	42
ber+sanding<v>_VSA	sanding	v	ber-_0	ber-_v_0	ber-	0	TRUE	42
ber+serah<v>_VSA	serah	v	ber-_0	ber-_v_0	ber-	0	TRUE	42
ber+ramal<v>_VSA	ramal	v	ber-_0	ber-_v_0	ber-	0	TRUE	40
ber+kerja<v>_VSA	kerja	v	ber-_0	ber-_v_0	ber-	0	TRUE	39
ber+olah<v>_VSA	olah	v	ber-_0	ber-_v_0	ber-	0	TRUE	38
ber+lumur<v>_VSA	lumur	v	ber-_0	ber-_v_0	ber-	0	TRUE	37
ber+tegur<v>_VSA	tegur	v	ber-_0	ber-_v_0	ber-	0	TRUE	37
ber+hias<v>_VSA	hias	v	ber-_0	ber-_v_0	ber-	0	TRUE	36
ber+pacu<v>_VSA	pacu	v	ber-_0	ber-_v_0	ber-	0	TRUE	36
ber+guncang<v>_VSA	guncang	v	ber-_0	ber-_v_0	ber-	0	TRUE	34
ber+kemas<v>_VSA	kemas	v	ber-_0	ber-_v_0	ber-	0	TRUE	34
ber+telanjang<v>_VSA	telanjang	v	ber-_0	ber-_v_0	ber-	0	TRUE	34
