ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
1500	ber+rasa<n>_VSA	rasa	perception-middle	n	42
479	ber+gading<n>_VSA	gading	reflexive-indirect	n	1
161	ber+baris<n>_VSA	baris	reciprocal-chaining	n	173
1447	ber+produktivitas<n>_VSA	produktivitas	reflexive-indirect-middle	n	1
767	ber+jejal<v>_VSA	jejal	reciprocal-naturally-reciprocal-events	v	17
374	ber+desak<v>_VSA	desak	reciprocal-naturally-reciprocal-events	v	2
642	ber+hias<v>_VSA	hias	grooming	v	36
26	ber+akidah<n>_VSA	akidah	cognition-middle	n	2
267	ber+campur aduk<v>_VSA	campur aduk	reciprocal-naturally-collective-actions	v	3
1253	ber+oksigen<n>_VSA	oksigen	spontaneous-events-inanimate-being-psychochemical-change	n	2
1353	ber+penis<n>_VSA	penis	reflexive-indirect	n	1
2061	ber+wibawa<n>_VSA	wibawa	reflexive-indirect-middle	n	130
1230	ber+napas<n>_VSA	napas	body-actions-others	n	259
1315	ber+patah<a>_VSA	patah	spontaneous-events-inanimate-being-partial-disruption-of-object-integrity	a	1
1564	ber+sahur<v>_VSA	sahur	body-actions-others	v	3
1374	ber+pesta<n>_VSA	pesta	reciprocal-naturally-reciprocal-events	n	60
776	ber+jins<n>_VSA	jins	grooming	n	1
933	ber+kolaborator<n>_VSA	kolaborator	reciprocal-naturally-reciprocal-events	n	1
1675	ber+senang<a>_VSADASHsenanng<x>_X--	senang	emotion-middle-1-participant	a	1
735	ber+itihad<n>_VSA	itihad	reciprocal-naturally-collective-actions	n	8
1929	ber+tiarap<v>_VSA	tiarap	body-posture-change	v	5
1892	ber+tempik sorak<n>_VSA	tempik sorak	emotion-middle-speech-action	n	1
929	ber+kobar<v>_VSA	kobar	spontaneous-events-inanimate-being-psychochemical-change	v	79
38	ber+akumulasi<n>_VSA	akumulasi	spontaneous-events-inanimate-being-change-of-shape	n	6
801	ber+kala<n>_VSA	kala	spontaneous-events-property-of-activities	n	1230
1735	ber+simbiosis<n>_VSA	simbiosis	reciprocal-naturally-reciprocal-events	n	8
1470	ber+pusat<a>_VSA	pusat	positionals	a	278
1488	ber+rakit<n>_VSA	rakit	translational-motion	n	9
909	ber+khotbah<n>_VSA	khotbah	emotion-middle-speech-action	n	11
1044	ber+ladang<n>_VSA	ladang	reflexive-indirect-middle	n	39
1014	ber+kubang<n>_VSA	kubang	grooming	n	18
1895	ber+temu<v>_VSA	temu	reciprocal-naturally-reciprocal-events	v	2848
1886	ber+telur<n>_VSA	telur	body-actions-others	n	58
610	ber+haji<n>_VSA	haji	reflexive-indirect-middle	n	53
1434	ber+praktek<n>_VSA	praktek	body-actions-others	n	6
819	ber+kaos<n>_VSA	kaos	grooming	n	7
1018	ber+kucir<n>_VSA	kucir	grooming	n	4
160	ber+baring<v>_VSA	baring	positionals	v	241
1337	ber+peluh<n>_VSA	peluh	body-actions-others	n	16
859	ber+keliling<n>_VSA	keliling	translational-motion	n	322
1084	ber+leher<n>_VSA	leher	reflexive-indirect	n	3
1883	ber+telinga<n>_VSA	telinga	reflexive-indirect	n	2
1330	ber+pekik<n>_VSA	pekik	emotion-middle-speech-action	n	1
1474	ber+putar<v>_VSADASHputaf<x>_X--	putar	non-trans-mot	v	1
124	ber+bagi<n>_VSA	bagi	reciprocal-naturally-reciprocal-events	n	981
328	ber+dansa<n>_VSA	dansa	reciprocal-naturally-reciprocal-events	n	39
725	ber+iring<v>_VSADASHan<f>_F--	iring	reciprocal-chaining	v	1
2058	ber+wefie<f>_VSA	wefie	reflexive-indirect-middle	f	1
1401	ber+pipi<n>_VSA	pipi	reflexive-indirect	n	1
1105	ber+limpah<v>_VSA	limpah	spontaneous-events-object-specific-container	v	143
1487	ber+rahim<n>_VSA	rahim	reflexive-indirect	n	2
1522	ber+renang<v>_VSA	renang	translational-motion	v	382
1334	ber+pelir<n>_VSA	pelir	reflexive-indirect	n	1
292	ber+cerita<n>_VSADASHentah<i>_I--	cerita	emotion-middle-speech-action	n	1
884	ber+kerah<n>_VSA	kerah	grooming	n	13
1981	ber+tumbuh<v>_VSA	tumbuh	spontaneous-events-animate-being	v	185
771	ber+jenjang<n>_VSA	jenjang	positionals	n	197
339	ber+daya kuasa<n>_VSA	daya kuasa	reflexive-indirect	n	1
1167	ber+matematika<n>_VSA	matematika	reflexive-indirect-middle	n	1
1143	ber+majas<n>_VSA	majas	emotion-middle-speech-action	n	2
986	ber+kontras<n>_VSA	kontras	reciprocal-naturally-reciprocal-events	n	1
1069	ber+langsung<a>_VSA	langsung	spontaneous-events-property-of-activities	a	3346
471	ber+foyafoya<a>_VSA	foyafoya	reflexive-indirect-middle	a	13
84	ber+arak<n>_VSA	arak	translational-motion	n	28
352	ber+demokrasi<n>_VSA	demokrasi	reciprocal-collective-group-actions	n	28
529	ber+gembira<a>_VSA	gembira	emotion-middle-1-participant	a	49
220	ber+bintik<n>_VSA	bintik	reflexive-indirect	n	3
1269	ber+otak<n>_VSA	otak	cognition-middle	n	13
1425	ber+pose<n>_VSA	pose	positionals	n	21
1294	ber+parade<f>_VSA	parade	reciprocal-chaining	f	3
1428	ber+posko<n>_VSA	posko	positionals	n	1
134	ber+bahu<v>_VSA	bahu	reflexive-indirect	v	1
239	ber+buka<v>_VSA	buka	spontaneous-events-object-specific-port	v	83
261	ber+cahaya<n>_VSADASHmungkin<d>_D--	cahaya	spontaneous-inanimate-state/activity-VISUAL	n	1
1357	ber+peran<n>_VSA	peran	reflexive-indirect-middle	n	2329
1495	ber+rambut<n>_VSA	rambut	reflexive-indirect	n	229
1258	ber+omzet<n>_VSA	omzet	reflexive-indirect-middle	n	7
145	ber+bandana<n>_VSA	bandana	grooming	n	1
597	ber+gumul<v>_VSA	gumul	reciprocal-naturally-reciprocal-events	v	42
1599	ber+sangkut<v>_VSA	sangkut	positionals	v	23
643	ber+hidung<n>_VSA	hidung	reflexive-indirect	n	24
683	ber+ilusi<n>_VSA	ilusi	cognition-middle	n	2
1814	ber+tafakur<n>_VSA	tafakur	cognition-middle	n	2
1884	ber+telpon<n>_VSA	telpon	reciprocal-naturally-reciprocal-events	n	1
1572	ber+saldo<n>_VSA	saldo	reflexive-indirect-middle	n	16
96	ber+asap<n>_VSA	asap	spontaneous-events-inanimate-being-psychochemical-change	n	23
2067	ber+ziarah<n>_VSA	ziarah	translational-motion	n	76
1552	ber+rubah<n>_VSADASHter+utama<a>_ASS	rubah	spontaneous-events-inanimate-being-change-of-shape	n	1
2016	ber+ungsi<v>_VSA	ungsi	translational-motion	v	1
336	ber+daya<n>_VSADASHingin<v>_VSA	daya	reflexive-indirect	n	2
1482	ber+raga<n>_VSA	raga	reflexive-indirect	n	1
1351	ber+pengertian<n>_VSA	pengertian	reflexive-indirect-middle	n	1
1405	ber+pita<n>_VSA	pita	grooming	n	4
212	ber+bilah<n>_VSA	bilah	spontaneous-events-inanimate-being-partial-disruption-of-object-integrity	n	2
1471	ber+pusing<v>_VSA	pusing	cognition-middle	v	4
688	ber+iman<n>_VSA	iman	cognition-middle	n	321
577	ber+golak<n>_VSA	golak	spontaneous-events-inanimate-being-psychochemical-change	n	82
1073	ber+lapis<v>_VSA	lapis	reciprocal-chaining	v	102
381	ber+diam<a>_VSA	diam	positionals	a	216
1388	ber+pikir<v>_VSADASHbukan<g>_G--	pikir	cognition-middle	v	1
584	ber+gotong<v>_VSA	gotong	reciprocal-collective-group-actions	v	32
1378	ber+petisi<n>_VSA	petisi	emotion-middle-speech-action	n	1
849	ber+kecambah<n>_VSA	kecambah	spontaneous-events-animate-being	n	28
868	ber+keluh<n>_VSADASHkesah<x>_X--	keluh	emotion-middle-speech-action	n	5
1442	ber+pretensi<n>_VSA	pretensi	cognition-middle	n	10
2019	ber+unta<n>_VSA	unta	translational-motion	n	2
1432	ber+potong<v>_VSA	potong	middle-passive	v	1
1747	ber+sintesis<n>_VSA	sintesis	reciprocal-naturally-collective-actions	n	1
639	ber+hening<a>_VSA	hening	perception-middle	a	1
1697	ber+serak<a>_VSA	serak	reciprocal-naturally-collective-actions	a	37
1203	ber+mohon<v>_VSA	mohon	emotion-middle-desiderative	v	26
1695	ber+seragam<n>_VSA	seragam	grooming	n	173
408	ber+duduk<v>_VSA	duduk	body-posture-change	v	1
646	ber+hikayat<n>_VSA	hikayat	emotion-middle-speech-action	n	2
1231	ber+nasib<n>_VSA	nasib	reflexive-indirect	n	68
1524	ber+rencana<n>_VSA	rencana	intentional	n	543
916	ber+kilau<n>_VSA	kilau	spontaneous-inanimate-state/activity-VISUAL	n	108
1680	ber+sendiri<a>_VSA	sendiri	reflexive-indirect-middle	a	1
1569	ber+saksi<n>_VSA	saksi	emotion-middle-speech-action	n	55
1206	ber+motif<n>_VSA	motif	intentional	n	68
1275	ber+pagar<n>_VSA	pagar	reflexive-indirect-middle	n	27
2050	ber+wangi<a>_VSA	wangi	spontaneous-events-property-of-inanimate-entity+OLFACTORY	a	1
714	ber+internet<n>_VSA	internet	reflexive-indirect-middle	n	8
2023	ber+upaya<n>_VSA	upaya	intentional	n	1137
667	ber+ibu<n>_VSA	ibu	reflexive-indirect	n	42
959	ber+konfik<n>_VSA	konfik	reflexive-indirect-middle	n	1
1826	ber+tamasya<n>_VSA	tamasya	translational-motion	n	15
168	ber+basuh<v>_VSA	basuh	grooming	v	3
440	ber+estafet<n>_VSA	estafet	reciprocal-chaining	n	4
893	ber+kerja<v>_VSA	kerja	reflexive-indirect-middle	v	39
116	ber+awan<n>_VSA	awan	spontaneous-events-inanimate-being-psychochemical-change	n	16
1385	ber+pijak<pre-cat>_VSA	pijak	non-trans-mot	pre-cat	128
1880	ber+telapak<n>_VSA	telapak	reflexive-indirect	n	1
442	ber+etika<n>_VSADASHsolidaristis<x>_X--	etika	self-control	n	1
59	ber+anak<n>_VSADASHcucu<n>_NSD	anak cucu	spontaneous-events-animate-being	n	1
781	ber+jubah<n>_VSA	jubah	grooming	n	42
