LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL
dihasilkan tanah dan ladang kami. Berlipat-lipat dari yang seharusnya kami	berikan	.	Cerpen	kami	pro	TRUE
2. Dapatkah kita memaksakan pemahaman tentang demokrasi kepada orang lain?	Berikan	alasanmu.	Buku_Teks			
g)	Berikan	ASI ekslusif, setidaknya sampai bayi berumur enam bulan.	Populer			
butan gelar juara sudah tidak ada di tangan kami lagi. Tentu, kami akan mem	berikan	yang terbaik di sisa kompetisi ini, tapi saya tidak bisa membayangkan, kam	Koran			
nk yang dimiliki customer. Ini merupakan salah satu layanan yang dapat Anda	berikan	bagi customer.	Populer	anda	pro	TRUE
Jangan	berikan	senjata apa pun	Novel			
mbicara yang diundang. Saya tahu kamu sudah tidak perlu. Terima sajalah dan	berikan	"kepada orang yang lebih berhak."""""	Biografi			
ara proses pengendalian dengan proses atau fungsi-fungsi manajemen lainnya,	berikan	gambar yang jelas!	Buku_Teks			
apat makanan-makanan setan. Penyakit-penyakit batin, itulah umpan yang kita	berikan	kepada setan. Apabila tercium hati manusia memiliki penyakit tersebut maka	Populer	kita	pro	TRUE
rbagi dengan temanmu? Dengan seseorang yang tidak kamu kenal? Apa yang kamu	berikan	kepada orang itu? Sebagian dari makan siang kamu? Sebagian dari uang jajan	Buku_Teks	kamu	pro	TRUE
Sangat berbanding terbalik ketika pertama berpisah. Sepotong hati yang kau	berikan	kini mulai mengering. Detaknya juga mulai melemah. Aku takut. Gumamku: Apa	Cerpen	kau	pro	TRUE
bagus. Nanti akan saya laporkan pada Presiden. Kalau perlu, nanti akan saya	berikan	note kepada Presiden untuk menambah kegiatan seperti ini. Selamat berjuang	Laman_Resmi	saya	pro	FALSE
JAKARTA -- Majelis Hakim mem	berikan	waktu tenggat dua pekan untuk menghadirkan ahli dan saksi tambahan di pers	Koran			
~	Berikan	umpan balik positif pada perilaku anak, seperti ketika anak dapat mengikut	Populer			
prospek akan mengutarakan berbagai alasan atau keberatan yang sesungguhnya.	Berikan	"jawaban-jawaban yang """"menyen-tuh hati dan emosinya"""" berkaitan dengan masal"	Populer			
u dengan pernyataan di atas?	Berikan	alasan!	Buku_Teks			
4	Berikan	penilaian dan tulis perasaanmu mengetahui perilaku Portugis dalam melakuka	Buku_Teks			
Kemenkes Minta Dokter Tetap	Berikan	Pelayanan	Laman_Resmi			
jak dia bersama-sama mencari nama tempat yang menjadi tujuan Anda, kemudian	berikan	tanda misalnya berupa bendera atau stiker bergambar lucu dengan warna menc	Populer			
Mereka telah mem	berikan	peninjauan,kata Erick selepas Rapat Dengar Pendapat Umum KOI de ngan Komis	Koran			
untungan untuk satu rumah dan	berikan	"alternatif lain. Sebagai contoh, katakan """"Saya mempunyai rumah lain yang m"	Populer			
4. Selanjutnya,	berikan	konfirmasi untuk mendaftar di program afiliasi.	Populer			
i kehidupan mereka. Pendidikan menjadi satu-satunya bekal yang dapat mereka	berikan	kepada anak keturunannya. Melalui pendidikan yang baik diharapkan anak KPM	Jurnal	mereka	pro	TRUE
h Ali. Aku mohon jangan	berikan	...	Novel			
vel ada yang berwatak tipikal dan netral. Jelaskan tentang hal tersebut dan	berikan	contoh dari novel yang pernah Anda baca!	Buku_Teks			
Menkominfo : Harkitnas	berikan	satu semangat kepada Rakyat Indonesia	Laman_Resmi			
. ''Memang iya. Sementara harga-harga naik, ditambah lagi subsidi yang kita	berikan	ke pengemudi. Tapi, hal yang seperti ini sudah biasa terjadi. Kita wait an	Koran	kita	pro	TRUE
"kata. """"Pak SBY. kalau ada nilai satu hingga sepuluh untuk Pak Chairul, kita"	berikan	"15!"""""	Biografi			
atribut pertama yang kita	berikan	~	Majalah	kita	pro	TRUE
"n Award dan puluhan tokoh dan kepala daerah. """"Jumlah Goldan Award yang kami"	berikan	totalnya 150 buah, ini bentuk apresiasi kepada atlet terbaik, tim terbaik,	Laman_Resmi	kami	pro	TRUE
~	Berikan	perhatian positif kepada anak Anda ketika anak Anda berbagi buku dengan te	Populer			
gga Anda memperoleh beberapa jenis kategori perilaku (kompetensi). Kemudian	berikan	nama atau sebutan tertentu untuk setiap jenis kategori perilaku tersebut.	Populer			
ulang, lantas menyerahkan uang itu. Bukan. Bukan untuk dipinjamkan. Tapi ia	berikan	secara cuma-cuma. Tak ayal, Tugirah sering geleng-geleng kepala melihat ti	Cerpen			
kap yang dapat kalian ambil untuk kehidupan di masyarakat. Oleh karena itu,	berikan	penilaian sikap terhadap dirimu sendiri dan teman selama pembelajaran perm	Buku_Teks			
a pasien secara hemodinamik tidak stabil atau jika adenosine tidak efektif,	berikan	sinkronisasi kardioversi. Gunakan sedasi jika memungkinkan. Mulai dengan d	Buku_Teks			
4. Reinfbrcement.	Berikan	pujian kepada anak-anak atas usaha yang telah mereka lakukan dan strategi	Disertasi_Tesis_Skripsi			
apa yang Indonesia	berikan	kepada 54 produk ramah lingkungan semuanya dalam kemasan kesepakatan tidak	Koran	Indonesia	proper_noun	TRUE
ai gangguan mental. Salah satu hal yang bisa dilakukan orang tua adalah mem	berikan	pemahaman bahwa apa yang dialami anak mereka juga bisa terjadi pada semua	Koran			
ma, dan memeli- hara kebersihan serta kelestar- ian lingkungan sungguh mem-	berikan	maslahat.	Koran			
manfaat, adalah sebaik-baik resign, manfaat dalam hal apapun yang bisa Anda	berikan	. Mario Teguh resign dari pekerjaannya sebagai seorang bankir dan kini seba	Populer	anda	pro	TRUE
, arif dan tantangan itu telah dengan terbuka dan dengan ikhlas Pak Menteri	berikan	pada saya dan mengukurnya dan diakhiri dengan kritik, saran maupun masukan	Laman_Resmi	Pak Menteri	proper_noun	FALSE
mereka akan bersedia mengetikkannya. Ini semua untuk duit yang telah mereka	berikan	di muka sebelum kami dinyatakan buron dan aku tetap harus menunaikan peker	Novel	mereka	pro	TRUE
c.	Berikan	50 ml/kg untuk berat 10 kg kedua	Disertasi_Tesis_Skripsi			
i pemberian oksigen 100%, bila perlu lakukan resusitasi kardiopulmonal, dan	berikan	antidotum (amil nitrit, Na-nitrit dan Na- tiosulfat). Sambil menunggu akse	Buku_Teks			
ng saat melakukan prospecting, Anda dapat memberikan kartu bisnis tersebut.	Berikan	juga pada pasangan dan anak Anda beberapa kartu untuk disebarkan jika mere	Populer			
h satu upaya KPU memperhatikan KPPS yang tertimba musibah adalah dengan mem	berikan	"santunan. Namun, menurut dia, tidak boleh hanya berhenti pada santunan. """"A"	Koran			
ia tak ingin kau terus mengejar cintanya. Sebab, harapan itu tidak akan dia	berikan	padamu. Ia tak memberikan alasan pasti mengapa kau harus melupakannya. Nam	Cerpen	dia	pro	FALSE
n yang benar. Mintalah anak untuk menggambar apa saja yang disukainya. Atau	berikan	contoh bagaimana cara menggambar lingkaran dan garis lurus, minta anak unt	Populer			
urat kepada gurumu. Simpan dan	berikan	pada Hari Guru! Berilah kejutan kepada guru-gurumu! Tulis dalam bentuk ema	Buku_Teks			
juga bisa Anda	berikan	"dengan mengatakan, """"Kamu bermain begitu baik dengan teman-temanmu"""" atau """"T"	Populer			
beda. Daripada mencari buku bacaan dengan huruf, ukuran dan gaya yang sama,	berikan	variasi kepada anak Anda. Hal ini lebih baik daripada keseragaman karena m	Populer			
ebab mereka memerlukan perhatian Anda lebih dari apa yang sudah pernah Anda	berikan	sewaktu mereka masih kecil. Banyak remaja tersisih karena orangtua yang te	Populer	anda	pro	TRUE
ng jelas dan	berikan	penawaran yang menarik. Di sinilah kredibilitas diri Anda terlihat, apakah	Populer			
mendatangkan trafik ke website mereka. Masih ingat dengan contoh yang saya	berikan	di bab 7 lalu?	Populer	saya	pro	TRUE
Ajak anak untuk mengikuti acara lomba menulis yang diadakan di sekolahnya.	Berikan	anak motivasi bahwa dengan mengikuti acara lomba menulis itu anak akan dap	Populer			
~	Berikan	umpan balik positif baik secara verbal maupun non-verbal terhadap apa yang	Populer			
embaran yang nantinya akan diisi oleh panelis terkait penilaian yang mereka	berikan	terhadap sampel yang dinilai . Form penilaian ini berisikan tentang:	Buku_Teks	mereka	pro	TRUE
ya menyarankan, ketika pria patah hati, entah itu ditolak atau putus cinta,	berikan	mereka pengertian-pengertian. Bukan justru mengejek atau menertawakan sehi	Majalah			
i baik yang tergolong karya seni rupa terapan maupun karya seni rupa murni.	Berikan	pula contoh karya seni rupa terapan yang dimanfaatkan sebagai benda hias a	Buku_Teks			
t bermain playdough. Goreng atau panggang adonan kue hasil cetakan anak dan	berikan	ke anak setelah matang. Anak akan merasa bangga telah membantu Anda memasa	Populer			
at prospek hendak membeli atau menyewa. Apabila prospek enggan berkomitmen,	berikan	kepastian bersama dengan alasan-alasan yang membuat mereka perlu bertindak	Populer			
akit pasiennya. Serta semakin sedikit pula variasi pengobatan yang dapat ia	berikan	. Karena itu, bagi mereka yang bergerak di bidang pemberian bantuan, upaya	Populer	ia	pro	TRUE
