LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
justru berpusat pada pusaran masalah dunia. Kenapa memori personal yang dia	ceritakan	bersinggungan dengan isu besar. Nama Soke Bahtera menjadi penjelasan terba	Novel	dia	pronomina	TRUE	
ngat bagian yang pernah saya ceritakan. Bagian itu sudah beberapa kali saya	ceritakan	meski kerap tersela karena ada saja kesibukan kalian. Saya hendak mencerit	Cerpen	saya	pronomina	FALSE	
"tan izin. Namun dia enggan menceritakan isi komunikasi itu. """"Ya, masak saya"	ceritakan	"."""""	Koran				
omo, saya	ceritakan	semua itu. Seraya berterima kasih atas jasa-jasa mereka yang begitu luar b	Biografi				
buatlah award record untuk semua karyawan yang berjasa bagi perusahaan dan	ceritakan	itu dalam buku-buku internal atau pelatihan-pelatihan, seperti orientasi k	Populer				
gris menjadi Manajer Operasi. Tentang keterlibatan anak-anak saya akan saya	ceritakan	di bab selanjutnya. OSCT Indonesia berkantor di gedung berlantai 7 yang cu	Biografi	saya	pronomina	FALSE	
latih kemahiran bahasa lisanmu,	ceritakan	hasil tulisan bersamamu itu kepada teman yang berada pada kelompok lain! S	Buku_Teks				
sudah lama sekali aku memimpikan menggorok leher ayahku. Seandainya ini aku	ceritakan	ke orang-orang, apa mereka akan mengaitkannya dengan kisah zaman dulu? Ket	Cerpen	aku	pronomina	FALSE	
membayangkan apa yang terjadi malam sebelumnya seperti yang mantan istrinya	ceritakan	. Jingga baru tidur saat larut demi menunggu kedatangannya untuk mendongeng	Cerpen	mantan istri	nomina	TRUE	
2. Coba	ceritakan	secara singkat perlawanan rakyat Maluku terhadap dominasi Portugis!	Buku_Teks				
puan yang pernah kau	ceritakan	. Sepulang sekolah tadi, di dekat taman, aku melihat sepasang kupu-kupu ber	Buku_Teks	kau	pronomina	TRUE	
"Sang cucu tersenyum riang dan menjawab, """"Setelah kita makan, aku mau kakek"	ceritakan	dua cerita yahl Satu yang berjudul 'Hujan' dan satu lagi berjudul 'Banjir'	Populer				
Baiklah, akan aku	ceritakan	.... Kamu baru beberapa minggu menjadi Tauke Besar, Bujang, dan baru sekali	Novel				
ti tahu bukan, yang terjadi setelahnya persis seperti apa yang barusan saya	ceritakan	, saya langsung naik ke motor Anto Lakban, menanyakan tujuan dan persis sep	Cerpen	saya	pronomina	TRUE	
mu benar. Lelaki yang aku	ceritakan	tidak hanya memelihara ketakutan, tetapi juga keputusasaan. Tapi perlu kam	Cerpen	aku	pronomina	TRUE	
iriku mati di pagi kelabu, lantas ia menjadi janda seperti yang orang-orang	ceritakan	akan jurai-ku. Gadis pujaanku itu pun, tiba-tiba tak mau aku temui. Berkur	Cerpen	orang-orang	nomina	TRUE	
a subyektif adalah infomasi yang di	ceritakan	ibu tentang apa yang di rasakanya apa yang sedang di alami dan telah di al	Buku_Teks				
Kang Adi, memberitahu bahwa Kang Adi mempunyai novel bagus yang kemudia ia	ceritakan	kepada Milea dan Airin. Kang Adi meminta Milea untuk membacanya, namun Mil	Disertasi_Tesis_Skripsi	ia	pronomina	TRUE	
ingin mengorek sedikit tentang kehidupan gadis itu, yang dengannya akan kau	ceritakan	ulang seolah-olah gadis itu baru saja kau tinggalkan. Dan gadis itu mungki	Cerpen	kau	pronomina	TRUE	
n, Miss Honey meyakinkan Mathilda untuk melupakan apa yang sudah Miss Honey	ceritakan	kepadanya dan juga melupakan cara apapun yang Mathilda pikirkan untuk meno	Disertasi_Tesis_Skripsi	Miss Honey	nomina_diri	TRUE	
