Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	sumber	tahun	URL	Match-begin corpus position	Match-end corpus position
1	D1A12002	Jika nanti ada polisi yang menginterogasi , bilang saja kalian	diancam olehku	. Di luar itu , kalian tidak tahu dan tidak	Jika_SC nanti_NN ada_VB polisi_NN yang_SC menginterogasi_VB ,_Z bilang_VB saja_RB kalian_PRP	diancam_VB olehku_NN	._Z Di_IN luar_NN itu_PR ,_Z kalian_PRP tidak_NEG tahu_VB dan_CC tidak_NEG	D_novel	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=0	6915544	6915545
2	D1A19003	bocah yang menggemaskan karena montok dan centil . “Pasti cocok	diasuh olehku	, ” katanya , menambahkan pula bahwa ia tak keberatan	bocah_NN yang_SC menggemaskan_VB karena_SC montok_JJ dan_CC centil_JJ ._Z “Pasti_NN cocok_JJ	diasuh_NN olehku_NN	,_Z ”_NN katanya_NN ,_Z menambahkan_VB pula_RB bahwa_SC ia_PRP tak_NEG keberatan_NN	D_novel	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=1	8765569	8765570
3	K1D115003	dan dipakai oleh masyarakat . Gerakan Bude Jamu tentunya harus	diawali oleh kita	sendiri , misalnya dengan menyediakan jamu pada rapat-rapat di kantor	dan_CC dipakai_VB oleh_IN masyarakat_NN ._Z Gerakan_NN Bude_NN Jamu_NN tentunya_JJ harus_MD	diawali_VB oleh_IN kita_PRP	sendiri_PRP ,_Z misalnya_NN dengan_SC menyediakan_VB jamu_NN pada_IN rapat-rapat_NN di_IN kantor_NN	K_laman_resmi	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=2	25034602	25034604
4	D1A15001	mengepal . Sekar kembali menarik tubuh Inggrid , kali ini	dibantu olehku	dan Lintang . “Grid ! Sudah ! Jangan emosi !	mengepal_VB ._Z Sekar_NN kembali_RB menarik_VB tubuh_NN Inggrid_NN ,_Z kali_NN ini_PR	dibantu_VB olehku_NN	dan_CC Lintang_NN ._Z “Grid_NN !_Z Sudah_MD !_Z Jangan_NEG emosi_NN !_Z	D_novel	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=3	7674822	7674823
5	C1A20085	tameng dan mengambil nyawa orang-orang terdekat kita . Brewok hanya	dibicarakan oleh kita	semua , namun dalam pembicaraan-pembicaraan itu tak ada tersirat dendam	tameng_NN dan_CC mengambil_VB nyawa_NN orang-orang_NN terdekat_JJ kita_PRP ._Z Brewok_NN hanya_RB	dibicarakan_VB oleh_IN kita_PRP	semua_CD ,_Z namun_CC dalam_IN pembicaraan-pembicaraan_NN itu_PR tak_NEG ada_VB tersirat_VB dendam_JJ	C_cerpen	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=4	6384136	6384138
6	H1A12004	, hampir semua acara di Trans TV maupun Trans 7	dibuat oleh kami	sendiri yang semuanya diproduksi untuk memenuhi kebutuhan pemirsa . Contoh	,_Z hampir_RB semua_CD acara_NN di_IN Trans_NN TV_NN maupun_CC Trans_NN 7_CD	dibuat_VB oleh_IN kami_PRP	sendiri_NN yang_SC semuanya_RB diproduksi_VB untuk_SC memenuhi_VB kebutuhan_NN pemirsa_NN ._Z Contoh_NN	H_biografi	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=5	17193383	17193385
7	B3Z15013	, pornografi dan konten tak pantas lainnya . / Video	dibuat oleh kita	sendiri atau telah mendapat izin untuk digunakan secara komersial .	,_Z pornografi_NN dan_CC konten_NN tak_NEG pantas_JJ lainnya_JJ ._Z /_Z Video_NN	dibuat_VB oleh_IN kita_PRP	sendiri_NN atau_CC telah_MD mendapat_VB izin_NN untuk_SC digunakan_VB secara_IN komersial_JJ ._Z	B_majalah	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=6	2767119	2767121
8	D1A12003	ibuku . A menjelma seorang perempuan berkaki kokoh yang dulu	dicintai oleh aku	dan ayahku . Kepalaku bisa rebah di pangkuannya ketika ia	ibuku_NN ._Z A_NNP menjelma_VB seorang_NND perempuan_NN berkaki_VB kokoh_JJ yang_SC dulu_NN	dicintai_VB oleh_IN aku_VB	dan_CC ayahku_NN ._Z Kepalaku_NN bisa_MD rebah_VB di_IN pangkuannya_NN ketika_SC ia_PRP	D_novel	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=7	7047105	7047107
9	C1A13004	Nadanya datar . Pilihan katanya selalu pintar , mungkin karena	didengar oleh aku	yang kurang pintar . Sesungguhnya Ibu Guru Siska juga jarang	Nadanya_NN datar_JJ ._Z Pilihan_NN katanya_NN selalu_RB pintar_JJ ,_Z mungkin_MD karena_SC	didengar_VB oleh_IN aku_VB	yang_SC kurang_RB pintar_JJ ._Z Sesungguhnya_RB Ibu_NN Guru_NN Siska_NN juga_RB jarang_RB	C_cerpen	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=8	4489305	4489307
10	H1A19005	Kebebasan juga demikian . Menurut Shamsi , ketika kebebasan itu	dieskpresikan oleh kita	atau kelompok kita maka kebebasan itu murni sebagai kebebasan .	Kebebasan_NNP juga_RB demikian_PR ._Z Menurut_IN Shamsi_NN ,_Z ketika_SC kebebasan_NN itu_PR	dieskpresikan_VB oleh_IN kita_PRP	atau_CC kelompok_NN kita_PRP maka_SC kebebasan_NN itu_PR murni_JJ sebagai_IN kebebasan_NN ._Z	H_biografi	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=9	18853664	18853666
11	G1A12001	akan terjadi out of date . Inilah teologi yang semestinya	digagas oleh kita	, sebagaimana Hasan Hanafi telah berusaha untuk menggagasnya secara terus	akan_MD terjadi_VB out_FW of_FW date_NN ._Z Inilah_NN teologi_NN yang_SC semestinya_JJ	digagas_VB oleh_IN kita_PRP	,_Z sebagaimana_SC Hasan_NNP Hanafi_NNP telah_MD berusaha_VB untuk_SC menggagasnya_VB secara_IN terus_RB	G_disertasi_tesis_skripsi	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=10	14319728	14319730
12	D1A14003	kedua abangku . Eten keluar . Posisinya di tingkat tiga	digantikan olehku	dan Uton . Kami lihat Eten bersalaman dengan Gultom dari	kedua_CD abangku_NN ._Z Eten_NN keluar_VB ._Z Posisinya_NN di_IN tingkat_NN tiga_CD	digantikan_VB olehku_NN	dan_CC Uton_NN ._Z Kami_PRP lihat_VB Eten_NN bersalaman_VB dengan_IN Gultom_NN dari_IN	D_novel	2014	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=11	7537093	7537094
13	G1A16005	Nabi yang membuat buntung Karena umat Tuan sedang wudu lalu	digoda olehku	begitu yang membuat buntung ... ( WHI . IV/1-4 )	Nabi_NNP yang_SC membuat_VB buntung_JJ Karena_SC umat_NN Tuan_NNP sedang_MD wudu_VB lalu_CC	digoda_VB olehku_NN	begitu_PR yang_SC membuat_VB buntung_JJ ..._Z (_Z WHI_NN ._Z IV/1-4_NN )_Z	G_disertasi_tesis_skripsi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx0&batch=12	15444354	15444355
