Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	sumber	tahun	URL	Match-begin corpus position	Match-end corpus position
1	D1A17001	bantuan dari presiden ! Artinya , amanah kepala negara telah	diabaikan olehmu	! Karena bukannya bekerja , kau terlalu banyak bertukar pikiran	bantuan_NN dari_IN presiden_NN !_Z Artinya_NN ,_Z amanah_NN kepala_NN negara_NN telah_MD	diabaikan_VB olehmu_NN	!_Z Karena_SC bukannya_NN bekerja_VB ,_Z kau_NN terlalu_RB banyak_CD bertukar_VB pikiran_NN	D_novel	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=0	8180681	8180682
2	I1E13003	ujar seorang audiens . " Motivasi yang naik-turun bukan hanya	dialami oleh Anda	. Semua manusia pasti pernah mengalami masa turunnya motivasi dalam	ujar_VB seorang_NND audiens_NN ._Z "_Z Motivasi_NN yang_SC naik-turun_VB bukan_NEG hanya_RB	dialami_VB oleh_IN Anda_PRP	._Z Semua_CD manusia_NN pasti_RB pernah_MD mengalami_VB masa_NN turunnya_NN motivasi_NN dalam_IN	I_populer	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=1	19914812	19914814
3	F1A18015	: Ò dan Kami berfirman : " Hai Adam ,	diamilah oleh kamu	dan isterimu surga ini , dan makanlah makanan-makanannya yang banyak	:_Z Ò_NN dan_CC Kami_PRP berfirman_VB :_Z "_Z Hai_UH Adam_NNP ,_Z	diamilah_NN oleh_IN kamu_PRP	dan_CC isterimu_NN surga_NN ini_PR ,_Z dan_CC makanlah_NN makanan-makanannya_NN yang_SC banyak_CD	F_jurnal	2018	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=2	13384971	13384973
4	C1A15015	itu seakan menyatu dengan lehernya . “Kalung itu hanya bisa	dibuka oleh kamu	, ” ucap Badi pada Marwi . “Kamu licik !	itu_PR seakan_SC menyatu_VB dengan_IN lehernya_NN ._Z “Kalung_NN itu_PR hanya_RB bisa_MD	dibuka_VB oleh_IN kamu_PRP	,_Z ”_NN ucap_VB Badi_NN pada_IN Marwi_NN ._Z “Kamu_NN licik_JJ !_Z	C_cerpen	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=3	5006752	5006754
5	I1C17002	kedua pihak . Anak akan merasa nyaman , diperhatikan dan	dicintai oleh Anda	. Kebahagiaan itulah yang akan membuat mereka merasa dekat dengan	kedua_CD pihak_NN ._Z Anak_NN akan_MD merasa_VB nyaman_JJ ,_Z diperhatikan_VB dan_CC	dicintai_VB oleh_IN Anda_PRP	._Z Kebahagiaan_NN itulah_PR yang_SC akan_MD membuat_VB mereka_PRP merasa_VB dekat_JJ dengan_IN	I_populer	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=4	19389071	19389073
6	E1C16002	, apa saja selain yang disebutkan di atas yang dapat	dihindari oleh dirimu	dari pergaulan bebas dan yang dapat menyebabkan perzinaan ? Mengapa	,_Z apa_WH saja_RB selain_IN yang_SC disebutkan_VB di_IN atas_NN yang_SC dapat_MD	dihindari_VB oleh_IN dirimu_NN	dari_IN pergaulan_NN bebas_JJ dan_CC yang_SC dapat_MD menyebabkan_VB perzinaan_NN ?_Z Mengapa_WH	E_buku_teks	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=5	10434229	10434231
7	C1A18005	hidup . Kau harus mati sebagaimana keperawananku yang telah mati	diisap olehmu	. Dan aku , harus juga mati untuk mengejarmu .	hidup_NN ._Z Kau_NN harus_MD mati_VB sebagaimana_SC keperawananku_NN yang_SC telah_MD mati_VB	diisap_VB olehmu_NN	._Z Dan_CC aku_VB ,_Z harus_MD juga_RB mati_VB untuk_SC mengejarmu_VB ._Z	C_cerpen	2018	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=6	5743499	5743500
8	G1C20001	dipandang sebagai tenaga kerja yang kurang mampu . Pandangan ini	dikecam oleh kamu	feminis Marxist . Mereka menyumbangkan pemikiran neo-Marxist melalui strategi pembangunan	dipandang_VB sebagai_IN tenaga_NN kerja_NN yang_SC kurang_RB mampu_JJ ._Z Pandangan_NN ini_PR	dikecam_VB oleh_IN kamu_PRP	feminis_NN Marxist_NN ._Z Mereka_PRP menyumbangkan_VB pemikiran_NN neo-Marxist_NN melalui_IN strategi_NN pembangunan_NN	G_disertasi_tesis_skripsi	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=7	16692246	16692248
9	I1H12003	dari waktu ke waktu , lakukan evaluasi tentang apa yang	dilakukan oleh Anda	maupun kelompok Anda , dan catatlah setiap kesenjangan yang ada	dari_IN waktu_NN ke_IN waktu_NN ,_Z lakukan_VB evaluasi_NN tentang_IN apa_WH yang_SC	dilakukan_VB oleh_IN Anda_PRP	maupun_CC kelompok_NN Anda_PRP ,_Z dan_CC catatlah_NN setiap_CD kesenjangan_NN yang_SC ada_VB	I_populer	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=8	20868409	20868411
10	I1C17002	. 1. Aktivitas Prabaca . Beberapa aktivitas prabaca yang harus	dilakukan oleh Anda	sebagai guru adalah sebagai berikut : Pilih teks yang dibutuhkan	._Z 1._DT Aktivitas_NN Prabaca_NN ._Z Beberapa_CD aktivitas_NN prabaca_NN yang_SC harus_MD	dilakukan_VB oleh_IN Anda_PRP	sebagai_IN guru_NN adalah_VB sebagai_IN berikut_NN :_Z Pilih_VB teks_NN yang_SC dibutuhkan_VB	I_populer	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx7&batch=9	19425260	19425262
