Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	sumber	tahun	URL	Match-begin corpus position	Match-end corpus position
1	H1A13002	dapat membuka komunikasi dengan orang lokal . Kesempatan itu tidak	diabaikan oleh dia	. Tak pernah dia lupa mencatat katakata baru . Dengan	dapat_MD membuka_VB komunikasi_NN dengan_IN orang_NN lokal_JJ ._Z Kesempatan_NN itu_PR tidak_NEG	diabaikan_VB oleh_IN dia_PRP	._Z Tak_NEG pernah_MD dia_PRP lupa_VB mencatat_VB katakata_NN baru_JJ ._Z Dengan_SC	H_biografi	2013	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=0	17251393	17251395
2	H1A17005	protes keras karena hampir semua mahasiswa memilih mata kuliah yang	diajar oleh beliau	sehingga dosen tersebut , yang mengampu mata kuliah yang sama	protes_NN keras_JJ karena_SC hampir_RB semua_CD mahasiswa_NN memilih_VB mata_NN kuliah_NN yang_SC	diajar_VB oleh_IN beliau_PRP	sehingga_SC dosen_NN tersebut_PR ,_Z yang_SC mengampu_VB mata_NN kuliah_NN yang_SC sama_JJ	H_biografi	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=1	18423019	18423021
3	H1A16004	sehingga pesawat gliding seolah-olah kondisi emergeney . Saat itulah saya	diajari oleh beliau	hingga touch down dan landing di runway . Padahal ,	sehingga_SC pesawat_NN gliding_JJ seolah-olah_SC kondisi_NN emergeney_NN ._Z Saat_NN itulah_PR saya_PRP	diajari_VB oleh_IN beliau_PRP	hingga_IN touch_NN down_FW dan_CC landing_FW di_IN runway_NN ._Z Padahal_CC ,_Z	H_biografi	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=2	18170024	18170026
4	H1A19005	yang baik itu adalah manusia yang baik , dan saya	diajari oleh dia	men-jadi orang baik , " ujamya lebih lanjut . Di	yang_SC baik_JJ itu_PR adalah_VB manusia_NN yang_SC baik_JJ ,_Z dan_CC saya_PRP	diajari_VB oleh_IN dia_PRP	men-jadi_VB orang_NN baik_JJ ,_Z "_Z ujamya_NN lebih_RB lanjut_VB ._Z Di_IN	H_biografi	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=3	18832817	18832819
5	K1A218014	diberikan kepada mahasiswa mikrobiologi di semester 6. Mata kuliah yang	diajarkan oleh beliau	menjadi dasar pelaksanaan pameran ini . " Jadi , di	diberikan_VB kepada_IN mahasiswa_NN mikrobiologi_NN di_IN semester_NN 6._NN Mata_NN kuliah_NN yang_SC	diajarkan_VB oleh_IN beliau_PRP	menjadi_VB dasar_NN pelaksanaan_NN pameran_NN ini_PR ._Z "_Z Jadi_VB ,_Z di_IN	K_laman_resmi	2018	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=4	25693226	25693228
6	F1A14010	. Artinya , individu memiliki banyak identitas diri yang sama-sama	diakui oleh dirinya	. Namun , individu dapat memilih untuk menggunakan identitas tertentu	._Z Artinya_NN ,_Z individu_NN memiliki_VB banyak_CD identitas_NN diri_NN yang_SC sama-sama_RB	diakui_VB oleh_IN dirinya_NN	._Z Namun_CC ,_Z individu_NN dapat_MD memilih_VB untuk_SC menggunakan_VB identitas_NN tertentu_PR	F_jurnal	2014	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=5	12378623	12378625
7	D1A15001	diam melongo , tak percaya atas apa yang baru saja	dialami oleh mereka	. Begitu pula Inggrid , dia begitu kaget pada kejadian	diam_VB melongo_VB ,_Z tak_NEG percaya_VB atas_IN apa_WH yang_SC baru_MD saja_RB	dialami_VB oleh_IN mereka_PRP	._Z Begitu_PR pula_RB Inggrid_NN ,_Z dia_PRP begitu_RB kaget_JJ pada_IN kejadian_NN	D_novel	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=6	7675578	7675580
8	I1C17002	kehidupan nyata . Bisa saja cerita yang dibacakan belum pernah	dialami oleh mereka	. Namun suatu saat , cepat atau lambat anak akan	kehidupan_NN nyata_JJ ._Z Bisa_MD saja_RB cerita_NN yang_SC dibacakan_VB belum_NEG pernah_MD	dialami_VB oleh_IN mereka_PRP	._Z Namun_CC suatu_CD saat_NN ,_Z cepat_JJ atau_CC lambat_JJ anak_NN akan_MD	I_populer	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=7	19388980	19388982
9	C1A16117	S itu , akan melengkapi data lapangan tentang dampak yang	dialami oleh mereka	. Saya menarik napas panjang , pikiran menerawang , hinggap	S_NNP itu_PR ,_Z akan_MD melengkapi_VB data_NN lapangan_NN tentang_IN dampak_NN yang_SC	dialami_VB oleh_IN mereka_PRP	._Z Saya_PRP menarik_VB napas_NN panjang_JJ ,_Z pikiran_NN menerawang_VB ,_Z hinggap_VB	C_cerpen	2016	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=8	5440754	5440756
10	I1H15002	telah saya jalani , cerita ini saya yakini juga banyak	dialami oleh mereka	di luar sana , mungkin salah satunya juga Anda .	telah_MD saya_PRP jalani_VB ,_Z cerita_NN ini_PR saya_PRP yakini_VB juga_RB banyak_CD	dialami_VB oleh_IN mereka_PRP	di_IN luar_NN sana_PR ,_Z mungkin_MD salah_JJ satunya_JJ juga_RB Anda_PRP ._Z	I_populer	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=9	20954841	20954843
11	A3E15018	antara tulang rawan sendi semakin menipis . Osteoarthritis 70 persen	dialami oleh mereka	yang berusia di atas 60 tahun . Namun , osteoarthritis	antara_IN tulang_NN rawan_JJ sendi_NN semakin_RB menipis_VB ._Z Osteoarthritis_NN 70_CD persen_CD	dialami_VB oleh_IN mereka_PRP	yang_SC berusia_VB di_IN atas_NN 60_CD tahun_NN ._Z Namun_CC ,_Z osteoarthritis_NN	A_koran	2015	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=10	812158	812160
12	H1A14001	segera dilepaskan dari tahanan tanpa siksaan , seperti yang biasanya	dialami oleh mereka	yang ditangkap Kenpetai . Sewaktu tentara Jepang menyerbu Kota Solo	segera_RB dilepaskan_VB dari_IN tahanan_NN tanpa_IN siksaan_NN ,_Z seperti_IN yang_SC biasanya_RB	dialami_VB oleh_IN mereka_PRP	yang_SC ditangkap_VB Kenpetai_NN ._Z Sewaktu_SC tentara_NN Jepang_NNP menyerbu_VB Kota_NNP Solo_NNP	H_biografi	2014	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=11	17506185	17506187
13	H1A12002	tidak masuk akal . Berbagai pertolongan yang tidak diduga kadangkala	dialami oleh mereka	yang ditimpa kesulitan , sebaliknya ada pula yang berbuat aneh-aneh	tidak_NEG masuk_VB akal_NN ._Z Berbagai_CD pertolongan_NN yang_SC tidak_NEG diduga_VB kadangkala_NN	dialami_VB oleh_IN mereka_PRP	yang_SC ditimpa_VB kesulitan_NN ,_Z sebaliknya_CC ada_VB pula_RB yang_SC berbuat_VB aneh-aneh_RB	H_biografi	2012	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=12	17080217	17080219
14	I1F17001	menggunakan media untuk mencapai tujuan tersebut . Masalah ketidakpastian juga	dialami oleh mereka	yang ingin menyampaikan pesan kepada kelompok-kelompok tertentu saja . Salah	menggunakan_VB media_NN untuk_SC mencapai_VB tujuan_NN tersebut_PR ._Z Masalah_NN ketidakpastian_NN juga_RB	dialami_VB oleh_IN mereka_PRP	yang_SC ingin_RB menyampaikan_VB pesan_NN kepada_IN kelompok-kelompok_NN tertentu_PR saja_RB ._Z Salah_JJ	I_populer	2017	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=13	20451037	20451039
15	B3A20005	Cuma batuk saja Pengalaman sengsara akibat ulah virus rupanya tidak	dialami oleh mereka	yang positif namun tanpa gejala . Salah satunya , Detri	Cuma_RB batuk_NN saja_RB Pengalaman_NN sengsara_NN akibat_NN ulah_NN virus_NN rupanya_RB tidak_NEG	dialami_VB oleh_IN mereka_PRP	yang_SC positif_JJ namun_CC tanpa_IN gejala_NN ._Z Salah_JJ satunya_JJ ,_Z Detri_NN	B_majalah	2020	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=14	3870272	3870274
16	D1A19003	pernah pula mengalami penganiayaan , bahkan lebih parah dari yang	dialami olehnya	, akibat mempertahankan keimanan mereka . Kalau sudah demikian ,	pernah_MD pula_RB mengalami_VB penganiayaan_NN ,_Z bahkan_RB lebih_RB parah_JJ dari_IN yang_SC	dialami_VB olehnya_NN	,_Z akibat_NN mempertahankan_VB keimanan_NN mereka_PRP ._Z Kalau_SC sudah_MD demikian_PR ,_Z	D_novel	2019	https://cqpweb.lancs.ac.uk/tbik3/context.php?qid=00dlx4&batch=15	8790885	8790886
