LEFT	NODE	RIGHT	GENRE	RELEVAN	STEM	AGENT_ENCODED	AGENT_PHRASE_TYPE	AGENT_ANIMACY	AGENT_CATEGORY	INTERCEPTION_BEFORE_AGENT
roaminoto kepada orang tua Raden Ajeng Soeharsikin	diterima	dengan baik, karena kedua orang tua menilai kedud	Biografi	TRUE	terima	FALSE				
tidak banyak berarti ketika SDM penduduknya tidak	dibenahi	dengan baik.	Biografi	TRUE	benah-i	FALSE				
kantor tahu, kalau	diminta	membelikan sesuatu oleh Auwjong, uang kembalianny	Biografi	TRUE	minta	TRUE	oleh_phrase	animate	person	TRUE
Dengan adanya sosok pengusaha seperti Mas Nadjikh	diharapkan	bisa ikut mengentaskan kemiskinan yang diderita p	Biografi	TRUE	harap-kan	FALSE				
, kampanye mahal dengan hasil riset yang cenderung	dimanipulasi	, atau kampanye sehat, hemat, dan bermartabat? Sek	Biografi	TRUE	manipulasi	FALSE				
mereka mengusahakan agar kegiatan-kegiatan mereka	diresapi	semangat Injil, dan hendaknya mereka mengindahkan	Biografi	TRUE	resap-i	FALSE				
arnya menarik setengah juta orang. Selain menuntut	dilarangnya	PKI, mereka mendesak dibersihkannya kabinet, parl	Biografi	FALSE						
Lyduma Intermas yaitu Ir. Nicolaus Simamora, MSA,	didampingi	Chief Engineer Pioneer Hi-Bred International Inc.	Biografi	TRUE	damping-i	TRUE	np	animate	person	FALSE
uga aksi politik di antara penduduk ikut berperan.	Dimulai	dengan aksi Sarekat Islam yang masih terus berlan	Biografi	TRUE	mula-i	FALSE				
keserasian dan dapat memberi kepuasan. Inilah yang	disebut	dasar Kebudayaan.	Biografi	TRUE	sebut	FALSE				
k peristiwa Gerakan 30 September, di Jakarta mulai	diadakan	jam malam, yaitu waktu ditentukan untuk tidak bol	Biografi	TRUE	ada-kan	FALSE				
Mungkin Anda	dilahirkan	sebagai orang miskin. Namun, dengan semangat ting	Biografi	TRUE	lahir-kan	FALSE				
sebuah perusahaan mulai ditawarkan Presiden. Semua	ditolak	halus oleh mereka.	Biografi	TRUE	tolak	TRUE	oleh_phrase	animate	person	TRUE
berpegang teguh pada prinsip-prinsip tersebut Ini	dikatakan	Baswedan secara jujur seolah-olah masa depannya s	Biografi	TRUE	kata-kan	TRUE	np	animate	person	FALSE
n di awal perjalanan. Bahkan, boleh jadi yang akan	dihadapi	adalah hal-hal yang serba-meragukan dan membuat p	Biografi	TRUE	hadap-i	FALSE				
hanya runner up. Selanjutnya, piala tersebut tenis	dipertahankan	China hingga tahun 2008.	Biografi	TRUE	per-tahan-kan	TRUE	np	inanimate	institution/organisation	FALSE
tempat tidur ayah dan ibunya. Pekerjaan ini tidak	diserahkan	kepada pembantu, demikian juga dengan urusan kama	Biografi	TRUE	serah-kan	FALSE				
h. Di dekatku, kulihat si Kuning sedang menatap ke	dinding	. Rupanya di atas dinding ada seekor cecak. Kucing	Biografi	FALSE						
ewakili pengurangan produksi sebanyak 300 ribu ton	dibandingkan	1.200.000 ton untuk pabrik- pabrik yang bekerja d	Biografi	TRUE	banding-kan	FALSE				
topo (disampaikan oleh Kolonel Aloysius Soegianto)	diterimanya	, Moerdani langsung siap meninggalkan Seoul dengan	Biografi	TRUE	terima	TRUE	pron-klitik-nya			
ahun kemudian, atau dua bulan setelah Negara Islam	diproklamasikan	, pada 3 Oktober 1949, maklumat itu direvisi menja	Biografi	TRUE	proklamasi-kan	FALSE				
